player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Mohammed Al-Breik,DF,Saudi Arabia,30,1992,2,1,0,1,0,65.0,33.0,24.1,0.7,64.0,1.5,0.0,1.0,-1.0,-1.38,1.4,0.6,0.8,1.16,-0.95,2.86,1.0
Mohammed Al-Owais,GK,Saudi Arabia,31,1991,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Mohammed Muntari,FW,Qatar,28,1993,3,0,0,3,0,63.0,21.0,23.3,0.7,,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.02,2.61,0.95,21.0
Mohammed Salisu,DF,Ghana,23,1999,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,5.0,7.0,-2.0,-0.67,4.1,5.6,-1.4,-0.48,,,
Mohammed Waad,MF,Qatar,23,1999,2,0,0,2,1,28.0,14.0,10.4,0.3,,0.0,0.0,1.0,-1.0,-3.21,0.2,0.3,-0.1,-0.17,-1.35,0.6,14.0
Moisés Caicedo,MF,Ecuador,21,2001,3,3,2,0,0,269.0,90.0,99.6,3.0,90.0,1.33,4.0,3.0,1.0,0.33,3.7,2.6,1.1,0.37,0.33,-4.79,
Moisés Ramírez,GK,Ecuador,22,2000,0,0,0,0,3,,,,,,,,,,,,,,,,,
Montassar Talbi,DF,Tunisia,24,1998,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,1.0,0.0,0.0,2.3,2.8,-0.5,-0.17,,,
Morteza Pouraliganji,DF,IR Iran,30,1992,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,4.0,7.0,-3.0,-1.0,3.2,4.2,-0.9,-0.32,,,
Mostafa Meshaal,MF,Qatar,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Mouez Hassen,GK,Tunisia,27,1995,0,0,0,0,3,,,,,,,,,,,,,,,,,
Moumi Ngamaleu,FW,Cameroon,28,1994,2,1,0,1,1,95.0,48.0,35.2,1.1,85.0,1.5,0.0,0.0,0.0,0.0,0.3,1.7,-1.4,-1.29,0.0,-0.78,10.0
Moussa N'Diaye,DF,Senegal,20,2002,0,0,0,0,4,,,,,,,,,,,,,,,,,
Moustapha Name,MF,Senegal,27,1995,0,0,0,0,4,,,,,,,,,,,,,,,,,
Munir,GK,Morocco,33,1989,1,1,1,0,6,90.0,90.0,13.6,1.0,90.0,3.0,2.0,0.0,2.0,2.0,1.5,1.0,0.5,0.52,2.16,0.74,
Musab Kheder,DF,Qatar,29,1993,1,0,0,1,2,6.0,6.0,2.2,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,2.05,0.65,6.0
Na Sang-ho,FW,Korea Republic,26,1996,2,1,0,1,2,119.0,60.0,33.1,1.3,74.0,0.5,2.0,1.0,1.0,0.76,1.9,0.9,1.1,0.8,2.25,2.13,45.0
Nader Ghandri,DF,Tunisia,27,1995,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,3.0,1.0,0.0,1.0,1.0,0.5,0.8,-0.3,-0.3,1.5,-0.2,
Nahuel Molina,DF,Argentina,24,1998,7,6,2,1,0,567.0,81.0,82.2,6.3,90.0,2.0,14.0,7.0,7.0,1.11,12.3,2.6,9.7,1.54,1.11,0.9,28.0
Naif Al-Hadhrami,MF,Qatar,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Nampalys Mendy,MF,Senegal,30,1992,4,3,2,1,0,272.0,68.0,75.6,3.0,85.0,1.5,2.0,5.0,-3.0,-0.99,2.3,2.6,-0.3,-0.1,-2.02,-1.49,16.0
Nasser Al-Dawsari,FW,Saudi Arabia,23,1998,1,0,0,1,2,5.0,5.0,1.9,0.1,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-0.1,-2.08,0.68,-1.09,5.0
Nathan Aké,DF,Netherlands,27,1995,5,5,4,0,0,479.0,96.0,99.8,5.3,96.0,2.2,10.0,4.0,6.0,1.13,4.6,6.0,-1.4,-0.28,1.13,-0.06,
Nathaniel Atkinson,DF,Australia,23,1999,1,1,0,0,2,84.0,84.0,23.3,0.9,84.0,0.0,1.0,4.0,-3.0,-3.21,0.5,3.7,-3.2,-3.39,-3.54,-2.82,
Nawaf Al Abed,MF,Saudi Arabia,32,1990,2,0,0,2,1,88.0,44.0,32.6,1.0,,1.5,2.0,1.0,1.0,1.02,0.9,2.3,-1.4,-1.45,2.51,-0.64,44.0
Nawaf Al Aqidi,GK,Saudi Arabia,22,2000,0,0,0,0,3,,,,,,,,,,,,,,,,,
Nayef Aguerd,DF,Morocco,26,1996,4,4,3,0,2,353.0,88.0,53.5,3.9,88.0,2.0,4.0,1.0,3.0,0.76,2.6,3.2,-0.6,-0.14,1.35,-0.07,
Naïm Sliti,MF,Tunisia,30,1992,2,1,1,1,1,114.0,57.0,42.2,1.3,90.0,0.5,0.0,1.0,-1.0,-0.79,0.9,1.7,-0.7,-0.59,-1.37,-0.73,24.0
Neco Williams,DF,Wales,21,2001,3,3,1,0,0,204.0,68.0,75.6,2.3,68.0,0.33,0.0,3.0,-3.0,-1.32,1.5,2.7,-1.2,-0.53,1.4,0.37,
Nemanja Gudelj,MF,Serbia,31,1991,2,1,0,1,1,92.0,46.0,34.1,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.3,2.1,-1.9,-1.83,1.52,-0.79,36.0
Nemanja Maksimovič,MF,Serbia,27,1995,3,1,1,2,0,122.0,41.0,45.2,1.4,90.0,0.33,3.0,3.0,0.0,0.0,2.1,2.6,-0.5,-0.35,1.82,1.76,16.0
Nemanja Radonjič,DF,Serbia,26,1996,3,0,0,3,0,60.0,20.0,22.2,0.7,,0.33,0.0,2.0,-2.0,-3.0,0.4,1.7,-1.3,-1.93,-2.57,-0.79,20.0
Neymar,MF,Brazil,30,1992,3,3,1,0,0,279.0,93.0,58.1,3.1,93.0,2.33,7.0,2.0,5.0,1.61,8.0,1.2,6.8,2.47,1.61,1.26,
Nick Pope,GK,England,30,1992,0,0,0,0,5,,,,,,,,,,,,,,,,,
Niclas Füllkrug,FW,Germany,29,1993,3,0,0,3,0,69.0,23.0,25.6,0.8,,1.33,4.0,3.0,1.0,1.3,5.9,1.1,4.8,6.25,1.3,5.42,23.0
Nico Elvedi,DF,Switzerland,26,1996,2,2,2,0,1,180.0,90.0,50.0,2.0,90.0,1.5,1.0,1.0,0.0,0.0,1.7,1.8,0.0,-0.01,2.0,-0.18,
Nico Schlotterbeck,DF,Germany,23,1999,2,1,1,1,1,94.0,47.0,34.8,1.0,90.0,0.5,1.0,2.0,-1.0,-0.96,3.1,1.5,1.6,1.54,-1.98,-1.04,4.0
Nico Williams,FW,Spain,20,2002,4,1,0,3,0,146.0,37.0,37.4,1.6,56.0,1.25,4.0,3.0,1.0,0.62,2.0,2.6,-0.6,-0.38,-1.23,-1.61,30.0
Nicola Zalewski,MF,Poland,20,2002,2,1,0,1,2,65.0,33.0,18.1,0.7,45.0,0.5,1.0,2.0,-1.0,-1.38,1.0,0.6,0.4,0.58,-1.08,1.55,20.0
Nicolas Jackson,FW,Senegal,21,2001,1,0,0,1,3,17.0,17.0,4.7,0.2,,0.0,0.0,2.0,-2.0,-10.59,0.4,0.3,0.1,0.33,-10.59,0.08,17.0
Nicolas Nkoulou,DF,Cameroon,32,1990,2,2,2,0,0,180.0,90.0,66.7,2.0,90.0,0.5,3.0,4.0,-1.0,-0.5,3.0,3.3,-0.4,-0.18,-1.5,1.8,
Nicolás De La Cruz,MF,Uruguay,25,1997,2,0,0,2,1,38.0,19.0,14.1,0.4,,2.0,0.0,0.0,0.0,0.0,0.4,0.7,-0.3,-0.74,0.0,-0.91,19.0
Nicolás Otamendi,DF,Argentina,34,1988,7,7,7,0,0,690.0,99.0,100.0,7.7,99.0,2.0,15.0,8.0,7.0,0.91,15.2,4.6,10.6,1.51,,1.51,
Nicolás Tagliafico,DF,Argentina,30,1992,6,3,1,3,1,373.0,62.0,54.1,4.1,93.0,1.83,8.0,8.0,0.0,0.0,9.8,3.5,6.3,1.66,-1.99,0.56,31.0
Niklas Süle,DF,Germany,27,1995,3,3,2,0,0,269.0,90.0,99.6,3.0,90.0,1.33,6.0,5.0,1.0,0.33,9.5,3.4,6.1,2.05,0.33,-44.55,
Nikola Milenkovič,DF,Serbia,25,1997,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.33,5.0,8.0,-3.0,-1.0,3.4,7.3,-3.9,-1.32,,,
Nikola Vlašič,FW,Croatia,25,1997,6,1,0,5,1,209.0,35.0,30.3,2.3,45.0,1.5,2.0,2.0,0.0,0.0,2.5,3.3,-0.7,-0.43,-0.19,0.13,33.0
Noa Lang,MF,Netherlands,23,1999,1,0,0,1,4,8.0,8.0,1.7,0.1,,1.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,,-1.14,,8.0
Noah Okafor,FW,Switzerland,22,2000,3,0,0,3,0,45.0,15.0,12.5,0.5,,2.0,0.0,2.0,-2.0,-4.0,0.4,0.5,-0.1,-0.15,-3.43,-0.26,15.0
Nouhou Tolo,DF,Cameroon,25,1997,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,4.0,4.0,0.0,0.0,3.4,5.8,-2.3,-0.78,,,
Noussair Mazraoui,DF,Morocco,25,1997,5,5,2,0,0,365.0,73.0,55.3,4.1,73.0,1.6,4.0,2.0,2.0,0.49,2.7,4.2,-1.5,-0.37,0.8,-0.58,
Nuno Mendes,DF,Portugal,20,2002,1,1,0,0,0,41.0,41.0,9.1,0.5,41.0,3.0,0.0,0.0,0.0,0.0,0.2,0.6,-0.4,-0.88,-1.32,-1.24,
Néstor Araujo,DF,Mexico,31,1991,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,0.0,0.0,2.0,-2.0,-2.0,0.3,0.3,-0.1,-0.05,-2.5,-0.53,
Oliver Christensen,GK,Denmark,23,1999,0,0,0,0,3,,,,,,,,,,,,,,,,,
Olivier Giroud,FW,France,36,1986,6,6,1,0,1,419.0,70.0,63.5,4.7,70.0,2.67,10.0,4.0,6.0,1.29,8.3,5.6,2.7,0.57,0.54,0.19,
Olivier Mbaizo,DF,Cameroon,25,1997,0,0,0,0,3,,,,,,,,,,,,,,,,,
Olivier Ntcham,MF,Cameroon,26,1996,1,0,0,1,2,25.0,25.0,9.3,0.3,,3.0,1.0,0.0,1.0,3.6,0.2,1.2,-1.0,-3.84,3.97,-3.34,25.0
Orbelín Pineda,MF,Mexico,26,1996,1,1,0,0,2,76.0,76.0,28.1,0.8,76.0,3.0,2.0,0.0,2.0,2.37,1.9,0.4,1.4,1.71,3.76,1.96,
Osman Bukari,MF,Ghana,24,1998,2,0,0,2,1,59.0,30.0,21.9,0.7,,0.0,1.0,2.0,-1.0,-1.53,1.2,1.0,0.2,0.33,-1.1,1.03,30.0
Otávio,MF,Portugal,27,1995,3,3,0,0,0,196.0,65.0,43.6,2.2,65.0,2.0,5.0,2.0,3.0,1.38,3.3,2.0,1.3,0.61,0.31,0.63,
Ousmane Dembélé,FW,France,25,1997,7,6,0,1,0,433.0,62.0,65.6,4.8,70.0,2.29,10.0,5.0,5.0,1.04,9.2,5.2,4.0,0.82,-0.15,0.92,12.0
Pablo Sarabia,FW,Spain,30,1992,1,0,0,1,3,3.0,3.0,0.8,0.0,,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,-1.4,,3.0
Paik Seung-ho,MF,Korea Republic,25,1997,1,0,0,1,3,26.0,26.0,7.2,0.3,,0.0,1.0,0.0,1.0,3.46,0.2,0.3,-0.1,-0.3,4.54,0.36,26.0
Pape Abou Cissé,DF,Senegal,27,1995,3,1,1,2,1,105.0,35.0,29.2,1.2,90.0,2.0,1.0,3.0,-2.0,-1.71,1.1,0.9,0.2,0.18,-1.71,-0.11,8.0
Pape Gueye,MF,Senegal,23,1999,3,1,1,2,1,153.0,51.0,42.5,1.7,90.0,1.0,2.0,4.0,-2.0,-1.18,2.8,1.5,1.3,0.76,-1.18,0.87,32.0
Pape Matar Sarr,MF,Senegal,20,2002,2,0,0,2,2,59.0,30.0,16.4,0.7,,1.5,1.0,2.0,-1.0,-1.53,0.5,0.6,0.0,-0.07,-1.23,-0.39,30.0
Papu Gómez,MF,Argentina,34,1988,2,2,0,0,4,107.0,54.0,15.5,1.2,54.0,1.5,2.0,2.0,0.0,0.0,1.1,0.2,0.9,0.72,-1.08,-0.78,
Pathé Ciss,MF,Senegal,28,1994,3,2,0,1,1,146.0,49.0,40.6,1.6,60.0,2.0,3.0,4.0,-1.0,-0.62,2.8,2.0,0.8,0.48,-0.2,0.38,27.0
Patrick Sequeira,GK,Costa Rica,23,1999,0,0,0,0,3,,,,,,,,,,,,,,,,,
Pau Torres,DF,Spain,25,1997,1,1,1,0,3,90.0,90.0,23.1,1.0,90.0,0.0,1.0,2.0,-1.0,-1.0,1.0,1.4,-0.4,-0.42,-3.1,-1.36,
Paulo Dybala,FW,Argentina,29,1993,2,0,0,2,5,18.0,9.0,2.6,0.2,,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.04,-0.94,-1.38,9.0
Payam Niazmand,GK,IR Iran,27,1995,0,0,0,0,3,,,,,,,,,,,,,,,,,
Pedri,MF,Spain,20,2002,4,4,3,0,0,356.0,89.0,91.3,4.0,89.0,1.25,6.0,3.0,3.0,0.76,5.3,3.4,1.9,0.52,-7.18,-0.69,
Pedro,FW,Brazil,25,1997,2,0,0,2,3,64.0,32.0,13.3,0.7,,0.5,1.0,2.0,-1.0,-1.41,2.5,0.5,2.0,5.36,-2.7,3.77,32.0
Pepe,DF,Portugal,39,1983,4,4,4,0,1,360.0,90.0,80.0,4.0,90.0,1.5,9.0,4.0,5.0,1.25,5.8,5.6,0.2,0.05,0.25,-1.03,
Pervis Estupiñán,DF,Ecuador,24,1998,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,4.0,3.0,1.0,0.33,3.7,2.6,1.2,0.39,,,
Phil Foden,FW,England,22,2000,4,3,1,1,1,258.0,65.0,57.3,2.9,79.0,2.25,9.0,3.0,6.0,2.09,6.6,2.8,3.8,1.32,0.69,0.93,20.0
Philipp Köhn,GK,Switzerland,24,1998,0,0,0,0,3,,,,,,,,,,,,,,,,,
Piero Hincapié,DF,Ecuador,20,2002,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,4.0,3.0,1.0,0.33,3.7,2.6,1.2,0.39,,,
Pierre Højbjerg,MF,Denmark,27,1995,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.33,1.0,3.0,-2.0,-0.67,2.7,3.9,-1.2,-0.39,,,
Pierre Kunde,MF,Cameroon,27,1995,2,2,0,0,1,131.0,66.0,48.5,1.5,66.0,2.0,3.0,3.0,0.0,0.0,2.4,2.7,-0.3,-0.22,0.0,1.11,
Piotr Zieliński,MF,Poland,28,1994,4,4,2,0,0,328.0,82.0,91.1,3.6,82.0,1.0,2.0,5.0,-3.0,-0.82,3.2,6.9,-3.7,-1.02,-3.64,-3.85,
Predrag Rajkovič,GK,Serbia,27,1995,0,0,0,0,2,,,0.0,0.0,,0.0,2.0,3.0,-1.0,,,,,,,,
PrzemysÅaw Frankowski,MF,Poland,27,1995,4,3,1,1,0,240.0,60.0,66.7,2.7,74.0,1.0,2.0,2.0,0.0,0.0,2.7,4.9,-2.2,-0.84,1.5,-0.46,19.0
Rafael Leão,FW,Portugal,23,1999,5,0,0,5,0,88.0,18.0,19.6,1.0,,1.8,4.0,2.0,2.0,2.05,2.1,2.4,-0.3,-0.27,1.05,-0.65,18.0
Raheem Sterling,FW,England,28,1994,3,2,0,1,1,149.0,50.0,33.1,1.7,69.0,1.33,4.0,1.0,3.0,1.81,2.4,1.0,1.5,0.88,0.02,-0.06,12.0
Ramin Rezaeian,DF,IR Iran,32,1990,2,2,2,0,1,180.0,90.0,66.7,2.0,90.0,1.5,2.0,1.0,1.0,0.5,1.9,2.0,-0.2,-0.1,4.5,0.66,
Randal Kolo Muani,FW,France,24,1998,3,1,1,2,4,182.0,61.0,27.6,2.0,90.0,1.33,4.0,2.0,2.0,0.99,3.7,2.9,0.8,0.49,-0.14,-0.02,46.0
Raphaël Guerreiro,DF,Portugal,28,1993,4,3,2,1,1,279.0,70.0,62.0,3.1,77.0,2.25,11.0,4.0,7.0,2.26,5.6,3.6,2.1,0.66,2.78,1.07,49.0
Raphaël Varane,DF,France,29,1993,6,6,3,0,1,518.0,86.0,78.5,5.8,86.0,2.17,10.0,7.0,3.0,0.52,7.0,9.2,-2.1,-0.37,-2.65,-4.06,
Raphinha,FW,Brazil,26,1996,5,4,1,1,0,315.0,63.0,65.6,3.5,76.0,2.0,6.0,2.0,4.0,1.14,8.1,1.4,6.7,1.91,0.6,0.16,12.0
Rasmus Nissen,DF,Denmark,25,1997,3,3,1,0,0,224.0,75.0,83.0,2.5,75.0,0.33,1.0,2.0,-1.0,-0.4,2.3,3.4,-1.1,-0.44,1.55,-0.28,
Raúl Jiménez,FW,Mexico,31,1991,3,0,0,3,0,59.0,20.0,21.9,0.7,,1.33,0.0,2.0,-2.0,-3.05,0.5,0.9,-0.4,-0.65,-3.48,-1.22,20.0
Remko Pasveer,GK,Netherlands,39,1983,0,0,0,0,5,,,,,,,,,,,,,,,,,
Remo Freuler,MF,Switzerland,30,1992,4,4,3,0,0,323.0,81.0,89.7,3.6,81.0,1.5,4.0,6.0,-2.0,-0.56,4.8,4.7,0.1,0.03,4.31,-0.44,
Renato Steffen,FW,Switzerland,31,1991,1,0,0,1,2,32.0,32.0,8.9,0.4,,0.0,0.0,1.0,-1.0,-2.81,0.1,0.5,-0.4,-1.03,-1.99,-1.22,32.0
Ricardo Horta,FW,Portugal,28,1994,3,1,1,2,2,119.0,40.0,26.4,1.3,90.0,1.0,2.0,2.0,0.0,0.0,1.6,2.4,-0.8,-0.58,-1.63,-1.13,15.0
Ricardo Rodríguez,DF,Switzerland,30,1992,4,4,3,0,0,359.0,90.0,99.7,4.0,90.0,1.5,5.0,9.0,-4.0,-1.0,5.5,5.3,0.1,0.03,-1.0,-17.07,
Richarlison,FW,Brazil,25,1997,4,4,1,0,1,323.0,81.0,67.3,3.6,81.0,2.5,6.0,1.0,5.0,1.39,7.6,1.3,6.4,1.77,1.39,-0.27,
Richie Laryea,DF,Canada,27,1995,3,2,0,1,0,160.0,53.0,59.3,1.8,67.0,0.0,1.0,3.0,-2.0,-1.13,3.2,1.6,1.6,0.88,1.33,1.89,26.0
Riley McGree,FW,Australia,24,1998,4,4,0,0,0,265.0,66.0,73.6,2.9,66.0,1.5,3.0,6.0,-3.0,-1.02,1.7,5.2,-3.5,-1.17,-1.97,0.21,
Ritsu Doan,FW,Japan,24,1998,4,2,0,2,0,217.0,54.0,55.6,2.4,76.0,1.75,5.0,1.0,4.0,1.66,3.9,2.0,1.9,0.78,3.22,2.11,33.0
Riyadh Sharahili,MF,Saudi Arabia,29,1993,1,0,0,1,0,54.0,54.0,20.0,0.6,,0.0,1.0,2.0,-1.0,-1.67,1.0,1.5,-0.5,-0.79,-1.25,0.27,54.0
Roan Wilson,MF,Costa Rica,20,2002,1,0,0,1,2,1.0,1.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-46.61,2.68,-43.87,1.0
Robert Arboleda,DF,Ecuador,31,1991,0,0,0,0,3,,,,,,,,,,,,,,,,,
Robert Gumny,DF,Poland,24,1998,0,0,0,0,4,,,,,,,,,,,,,,,,,
Robert Lewandowski,FW,Poland,34,1988,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.0,3.0,5.0,-2.0,-0.5,4.5,7.3,-2.7,-0.69,,,
Robert Skov,DF,Denmark,26,1996,1,0,0,1,2,22.0,22.0,8.1,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.67,0.73,1.16,22.0
Robert Sánchez,GK,Spain,25,1997,0,0,0,0,4,,,,,,,,,,,,,,,,,
Roberto Alvarado,FW,Mexico,24,1998,1,0,0,1,2,18.0,18.0,6.7,0.2,,0.0,0.0,1.0,-1.0,-5.0,0.0,0.0,0.0,-0.22,-5.0,-0.55,18.0
Rodolfo Cota,GK,Mexico,35,1987,0,0,0,0,3,,,,,,,,,,,,,,,,,
Rodri,DF,Spain,26,1996,4,4,4,0,0,390.0,98.0,100.0,4.3,98.0,1.25,9.0,3.0,6.0,1.38,6.2,3.4,2.7,0.68,,0.68,
Rodrigo Bentancur,MF,Uruguay,25,1997,3,3,2,0,0,213.0,71.0,78.9,2.4,71.0,1.33,2.0,2.0,0.0,0.0,3.2,2.8,0.4,0.18,0.0,0.63,
Rodrigo De Paul,MF,Argentina,28,1994,7,7,4,0,0,599.0,86.0,86.8,6.7,86.0,2.0,13.0,5.0,8.0,1.2,12.4,2.9,9.4,1.42,2.19,0.29,
Rodrygo,MF,Brazil,21,2001,5,1,0,4,0,181.0,36.0,37.7,2.0,54.0,2.0,2.0,1.0,1.0,0.5,4.2,0.9,3.3,1.98,-0.71,0.18,32.0
Rogelio Funes Mori,FW,Mexico,31,1991,1,0,0,1,2,5.0,5.0,1.9,0.1,,3.0,0.0,1.0,-1.0,-18.0,0.2,0.6,-0.5,-8.77,-18.0,-9.24,5.0
Romain Saïss,DF,Morocco,32,1990,6,6,4,0,1,466.0,78.0,70.6,5.2,78.0,1.83,5.0,2.0,3.0,0.58,4.0,4.3,-0.4,-0.07,1.51,0.11,
Romario Ibarra,MF,Ecuador,28,1994,2,1,0,1,1,68.0,34.0,25.2,0.8,67.0,2.0,2.0,0.0,2.0,2.65,1.2,0.3,0.9,1.21,3.09,1.1,1.0
Romelu Lukaku,FW,Belgium,29,1993,2,0,0,2,0,55.0,28.0,20.4,0.6,,0.5,0.0,1.0,-1.0,-1.64,2.1,0.8,1.3,2.2,-1.64,2.7,28.0
Roozbeh Cheshmi,DF,IR Iran,29,1993,2,1,0,1,1,58.0,29.0,21.5,0.6,45.0,1.5,2.0,3.0,-1.0,-1.55,0.6,1.1,-0.4,-0.63,-0.7,-0.41,13.0
Ruben Vargas,FW,Switzerland,24,1998,4,4,0,0,0,285.0,71.0,79.2,3.2,71.0,1.5,5.0,6.0,-1.0,-0.32,4.9,4.3,0.6,0.18,3.28,0.47,
Rubin Colwill,MF,Wales,20,2002,1,0,0,1,2,10.0,10.0,3.7,0.1,,0.0,0.0,0.0,0.0,0.0,0.2,0.3,-0.1,-1.24,1.73,-0.64,10.0
Rui Patrício,GK,Portugal,34,1988,0,0,0,0,5,,,,,,,,,,,,,,,,,
Ró-Ró,DF,Qatar,32,1990,3,3,2,0,0,262.0,87.0,97.0,2.9,87.0,0.0,1.0,6.0,-5.0,-1.72,1.3,3.3,-2.1,-0.72,9.53,-0.22,
Rónald Matarrita,DF,Costa Rica,28,1994,2,0,0,2,1,26.0,13.0,9.6,0.3,,0.0,0.0,4.0,-4.0,-13.85,0.0,3.4,-3.3,-11.51,-12.37,-9.53,13.0
Rúben Dias,DF,Portugal,25,1997,4,4,4,0,1,360.0,90.0,80.0,4.0,90.0,2.25,11.0,4.0,7.0,1.75,6.5,4.8,1.7,0.42,2.75,0.84,
Rúben Neves,MF,Portugal,25,1997,5,4,0,1,0,268.0,54.0,59.6,3.0,65.0,1.8,4.0,3.0,1.0,0.34,3.3,2.9,0.4,0.13,-2.14,-0.3,10.0
Saad Al Sheeb,GK,Qatar,32,1990,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,0.0,0.0,2.0,-2.0,-2.0,0.3,1.2,-0.9,-0.86,0.0,-0.23,
Sadegh Moharrami,DF,IR Iran,26,1996,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,0.0,2.0,6.0,-4.0,-4.0,1.4,2.1,-0.8,-0.75,-4.5,-0.66,
Saeid Ezatolahi,MF,IR Iran,26,1996,3,2,1,1,0,217.0,72.0,80.4,2.4,86.0,1.0,2.0,4.0,-2.0,-0.83,2.6,3.1,-0.5,-0.22,0.87,0.47,45.0
Saleh Al-Shehri,FW,Saudi Arabia,29,1993,3,3,0,0,0,223.0,74.0,82.6,2.5,74.0,1.0,2.0,5.0,-3.0,-1.21,2.1,4.8,-2.7,-1.09,-3.13,-0.46,
Salem Al-Dawsari,MF,Saudi Arabia,31,1991,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Salem Al-Hajri,MF,Qatar,26,1996,0,0,0,0,3,,,,,,,,,,,,,,,,,
Salis Abdul Samed,MF,Ghana,22,2000,3,3,1,0,0,250.0,83.0,92.6,2.8,83.0,1.0,5.0,7.0,-2.0,-0.72,3.5,5.3,-1.8,-0.66,-0.72,-2.41,
Salman Al-Faraj,MF,Saudi Arabia,33,1989,1,1,0,0,0,44.0,44.0,16.3,0.5,44.0,3.0,0.0,1.0,-1.0,-2.05,0.0,1.0,-1.0,-2.09,-1.65,-1.29,
Sam Adekugbe,DF,Canada,27,1995,3,1,0,2,0,95.0,32.0,35.2,1.1,59.0,0.0,1.0,3.0,-2.0,-1.89,1.0,1.7,-0.8,-0.74,-0.35,-1.31,18.0
Saman Ghoddos,MF,IR Iran,29,1993,1,0,0,1,2,45.0,45.0,16.7,0.5,,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.21,1.2,0.63,45.0
Sami Al-Najei,MF,Saudi Arabia,25,1997,1,1,0,0,2,45.0,45.0,16.7,0.5,45.0,0.0,0.0,1.0,-1.0,-2.0,0.9,0.3,0.6,1.24,-1.6,2.69,
Samuel Oum Gouet,MF,Cameroon,25,1997,2,1,1,1,1,100.0,50.0,37.0,1.1,90.0,0.5,0.0,1.0,-1.0,-0.9,0.8,1.6,-0.8,-0.71,-1.43,0.12,10.0
Samuel Piette,MF,Canada,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Sardar Azmoun,FW,IR Iran,27,1995,3,2,0,1,0,126.0,42.0,46.7,1.4,56.0,1.0,1.0,2.0,-1.0,-0.71,1.7,2.2,-0.5,-0.37,0.54,-0.1,14.0
Saud Abdulhamid,DF,Saudi Arabia,23,1999,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Saša Lukič,MF,Serbia,26,1996,3,3,2,0,0,245.0,82.0,90.7,2.7,82.0,0.33,5.0,7.0,-2.0,-0.73,3.2,6.8,-3.6,-1.33,2.87,-0.15,
Sean Johnson,GK,United States,33,1989,0,0,0,0,4,,,,,,,,,,,,,,,,,
Sebastian Szymański,MF,Poland,23,1999,2,2,0,0,2,134.0,67.0,37.2,1.5,67.0,0.5,0.0,1.0,-1.0,-0.67,1.6,1.7,-0.2,-0.12,-0.27,0.9,
Sebastián Coates,DF,Uruguay,32,1990,2,2,2,0,1,180.0,90.0,66.7,2.0,90.0,1.5,2.0,2.0,0.0,0.0,3.1,2.9,0.2,0.1,0.0,0.14,
Sebastián Sosa,GK,Uruguay,36,1986,0,0,0,0,3,,,,,,,,,,,,,,,,,
Seifeddine Jaziri,FW,Tunisia,29,1993,0,0,0,0,3,,,,,,,,,,,,,,,,,
Selim Amallah,MF,Morocco,26,1996,7,4,1,3,0,409.0,58.0,62.0,4.5,75.0,1.57,1.0,0.0,1.0,0.22,2.2,4.4,-2.2,-0.48,0.22,-0.98,36.0
Seny Dieng,GK,Senegal,28,1994,0,0,0,0,4,,,,,,,,,,,,,,,,,
