player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Leroy Sané,FW,Germany,26,1996,2,1,1,1,1,111.0,56.0,41.1,1.2,90.0,2.0,5.0,2.0,3.0,2.43,6.7,1.3,5.4,4.38,3.56,3.67,21.0
Liam Fraser,MF,Canada,24,1998,0,0,0,0,3,,,,,,,,,,,,,,,,,
Liam Millar,DF,Canada,23,1999,1,0,0,1,2,10.0,10.0,3.7,0.1,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-0.1,-0.77,1.73,-0.91,10.0
Lionel Messi,FW,Argentina,35,1987,7,7,7,0,0,690.0,99.0,100.0,7.7,99.0,2.0,15.0,8.0,7.0,0.91,15.2,4.6,10.6,1.51,,1.51,
Lisandro Martínez,DF,Argentina,24,1998,5,2,1,3,2,303.0,61.0,43.9,3.4,101.0,2.0,6.0,3.0,3.0,0.89,5.1,1.5,3.6,1.06,-0.04,-0.57,34.0
Lovro Majer,MF,Croatia,24,1998,7,1,0,6,0,130.0,19.0,18.8,1.4,65.0,1.43,4.0,1.0,3.0,2.08,1.5,1.5,0.0,0.03,2.4,0.65,11.0
Loïs Openda,FW,Belgium,22,2000,1,0,0,1,2,13.0,13.0,4.8,0.1,,3.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,-0.07,0.35,-0.13,13.0
Luca de la Torre,MF,United States,24,1998,0,0,0,0,4,,,,,,,,,,,,,,,,,
Lucas Cavallini,FW,Canada,29,1992,1,0,0,1,2,19.0,19.0,7.0,0.2,,0.0,0.0,1.0,-1.0,-4.74,0.1,1.0,-0.9,-4.26,-3.3,-4.71,19.0
Lucas Hernández,DF,France,26,1996,1,1,0,0,0,12.0,12.0,1.8,0.1,12.0,3.0,0.0,1.0,-1.0,-7.5,0.0,0.3,-0.3,-2.15,-8.75,-2.7,
Lucas Paquetá,MF,Brazil,25,1997,4,4,1,0,1,314.0,79.0,65.4,3.5,79.0,2.5,7.0,1.0,6.0,1.72,8.6,1.1,7.5,2.14,2.26,0.81,
Lucas Torreira,MF,Uruguay,26,1996,0,0,0,0,3,,,,,,,,,,,,,,,,,
Luis Chávez,MF,Mexico,26,1996,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,2.0,3.0,-1.0,-0.33,3.3,2.4,0.9,0.3,,,
Luis Romo,DF,Mexico,27,1995,0,0,0,0,3,,,,,,,,,,,,,,,,,
Luis Suárez,FW,Uruguay,35,1987,3,2,0,1,0,146.0,49.0,54.1,1.6,64.0,1.33,2.0,1.0,1.0,0.62,2.4,2.5,-0.1,-0.04,1.34,-0.19,18.0
Luka Jovič,FW,Serbia,24,1997,1,0,0,1,1,36.0,36.0,13.3,0.4,,0.5,3.0,3.0,0.0,0.0,0.2,1.1,-0.8,-2.1,1.15,-0.9,36.0
Luka Modrič,MF,Croatia,37,1985,7,7,4,0,0,653.0,93.0,94.6,7.3,93.0,1.43,7.0,7.0,0.0,0.0,6.0,10.6,-4.6,-0.67,-2.43,-1.45,
Luka Sučič,MF,Croatia,20,2002,0,0,0,0,7,,,,,,,,,,,,,,,,,
Lukas Klostermann,DF,Germany,26,1996,2,0,0,2,1,66.0,33.0,24.4,0.7,,2.0,4.0,2.0,2.0,2.73,5.4,1.1,4.3,5.85,3.17,4.81,33.0
Luke Shaw,DF,England,27,1995,5,5,4,0,0,424.0,85.0,94.2,4.7,85.0,2.0,12.0,4.0,8.0,1.7,7.5,3.8,3.6,0.77,-1.76,-2.61,
Luuk de Jong,FW,Netherlands,32,1990,1,0,0,1,4,57.0,57.0,11.9,0.6,,1.0,2.0,1.0,1.0,1.58,0.4,1.2,-0.8,-2.64,0.52,-2.51,57.0
Majid Hosseini,DF,IR Iran,26,1996,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,4.0,7.0,-3.0,-1.0,3.2,4.2,-0.9,-0.32,,,
Mamadou Loum,MF,Senegal,25,1996,0,0,0,0,4,,,,,,,,,,,,,,,,,
Manaf Nurudeen,GK,Ghana,23,1999,0,0,0,0,3,,,,,,,,,,,,,,,,,
Manuel Akanji,DF,Switzerland,27,1995,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.5,5.0,9.0,-4.0,-1.0,5.6,5.3,0.3,0.08,,,
Manuel Neuer,GK,Germany,36,1986,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,6.0,5.0,1.0,0.33,10.1,3.4,6.7,2.22,,,
Manuel Ugarte Ribeiro,MF,Uruguay,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Marc-André ter Stegen,GK,Germany,30,1992,0,0,0,0,3,,,,,,,,,,,,,,,,,
Marcelo Brozovič,MF,Croatia,30,1992,6,6,4,0,1,552.0,92.0,80.0,6.1,92.0,1.17,5.0,5.0,0.0,0.0,5.9,8.9,-3.0,-0.52,-0.65,0.02,
Marco Asensio,FW,Spain,26,1996,4,3,0,1,0,229.0,57.0,58.7,2.5,65.0,1.25,5.0,0.0,5.0,1.97,3.9,0.8,3.1,1.21,1.41,1.4,34.0
Marco Tilio,MF,Australia,21,2001,0,0,0,0,4,,,,,,,,,,,,,,,,,
Marcos Acuña,DF,Argentina,31,1991,6,4,1,2,0,373.0,62.0,54.1,4.1,74.0,1.83,8.0,3.0,5.0,1.21,6.6,3.0,3.7,0.96,0.64,-0.84,39.0
Marcos Llorente,DF,Spain,27,1995,1,1,1,0,3,120.0,120.0,30.8,1.3,120.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.3,0.26,-2.0,-0.48,
Marcus Rashford,FW,England,25,1997,5,1,0,4,0,140.0,28.0,31.1,1.6,74.0,2.0,5.0,1.0,4.0,2.57,3.1,1.5,1.6,1.02,1.12,0.14,17.0
Marcus Thuram,FW,France,25,1997,5,0,0,5,2,151.0,30.0,22.9,1.7,,2.6,6.0,3.0,3.0,1.79,4.7,3.9,0.7,0.55,0.9,0.05,30.0
Mario Götze,MF,Germany,30,1992,2,0,0,2,1,36.0,18.0,13.3,0.4,,1.5,3.0,2.0,1.0,2.5,3.9,0.6,3.3,8.37,2.5,7.1,18.0
Mario Pašalič,FW,Croatia,27,1995,7,2,0,5,0,271.0,39.0,39.3,3.0,58.0,1.43,1.0,2.0,-1.0,-0.33,2.2,4.2,-2.0,-0.75,-0.76,-0.35,31.0
Mark Harris,FW,Wales,23,1998,0,0,0,0,3,,,,,,,,,,,,,,,,,
Mark-Anthony Kaye,MF,Canada,28,1994,1,1,0,0,2,59.0,59.0,21.9,0.7,59.0,0.0,1.0,2.0,-1.0,-1.53,0.6,0.5,0.0,0.07,0.18,-0.05,
Marko Dmitrovič,GK,Serbia,30,1992,0,0,0,0,3,,,,,,,,,,,,,,,,,
Marko Grujič,MF,Serbia,26,1996,1,0,0,1,2,13.0,13.0,4.8,0.1,,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.62,1.05,2.03,13.0
Marko Livaja,FW,Croatia,29,1993,6,3,0,3,1,241.0,40.0,34.9,2.7,62.0,1.5,4.0,2.0,2.0,0.75,2.4,3.3,-0.9,-0.36,0.95,0.25,18.0
Marou Souaibou,FW,Cameroon,22,2000,0,0,0,0,3,,,,,,,,,,,,,,,,,
Marquinhos,DF,Brazil,28,1994,5,4,4,1,0,426.0,85.0,88.8,4.7,98.0,2.0,8.0,3.0,5.0,1.06,10.8,1.8,9.0,2.05,1.06,1.09,36.0
Marten de Roon,MF,Netherlands,31,1991,5,3,0,2,0,184.0,37.0,38.3,2.0,57.0,2.2,5.0,1.0,4.0,1.96,2.3,1.3,1.0,0.5,1.35,1.26,7.0
Martin Braithwaite,FW,Denmark,31,1991,2,1,0,1,1,103.0,52.0,38.1,1.1,58.0,0.0,1.0,2.0,-1.0,-0.87,0.9,1.8,-0.9,-0.79,-0.33,-0.64,45.0
Martin Erlic,DF,Croatia,24,1998,0,0,0,0,7,,,,,,,,,,,,,,,,,
Martin Hongla,MF,Cameroon,24,1998,2,2,0,0,0,121.0,61.0,44.8,1.3,61.0,0.5,1.0,4.0,-3.0,-2.23,1.9,2.6,-0.7,-0.51,-4.04,0.5,
Martinelli,FW,Brazil,21,2001,3,1,1,2,2,113.0,38.0,23.5,1.3,90.0,2.0,0.0,2.0,-2.0,-1.59,2.7,0.6,2.2,1.71,-3.31,-0.19,12.0
Martín Cáceres,DF,Uruguay,35,1987,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,-0.05,0.0,-0.14,
Mason Mount,MF,England,23,1999,4,2,1,2,1,186.0,47.0,41.3,2.1,80.0,1.75,4.0,1.0,3.0,1.45,2.9,1.2,1.7,0.8,-0.59,-0.21,13.0
Mateo Kovačič,MF,Croatia,28,1994,7,7,2,0,0,635.0,91.0,92.0,7.1,91.0,1.43,6.0,7.0,-1.0,-0.14,6.0,10.6,-4.6,-0.66,-3.41,-1.67,
Mateusz Wieteska,DF,Poland,25,1997,0,0,0,0,4,,,,,,,,,,,,,,,,,
Matheus Nunes,MF,Portugal,24,1998,2,1,0,1,3,73.0,37.0,16.2,0.8,64.0,1.5,2.0,1.0,1.0,1.23,2.2,0.8,1.4,1.7,0.04,1.73,9.0
Mathew Leckie,MF,Australia,31,1991,4,4,1,0,0,333.0,83.0,92.5,3.7,83.0,1.5,3.0,6.0,-3.0,-0.81,1.8,6.0,-4.2,-1.13,-4.14,1.32,
Mathew Ryan,GK,Australia,30,1992,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.5,4.0,6.0,-2.0,-0.5,2.3,7.2,-4.9,-1.23,,,
