player,position,team,age,club,birth_year
Nasser Al-Dawsari,FW,Saudi Arabia,23,Al-Hilal,1998
Nathan Aké,DF,Netherlands,27,Manchester City,1995
Nathaniel Atkinson,DF,Australia,23,Hearts,1999
Nawaf Al Abed,MF,Saudi Arabia,32,Al-Shabab,1990
Nayef Aguerd,DF,Morocco,26,West Ham,1996
Naïm Sliti,MF,Tunisia,30,Al-Ettifaq,1992
Neco Williams,DF,Wales,21,Nott'ham Forest,2001
Nemanja Gudelj,MF,Serbia,31,Sevilla,1991
Nemanja Maksimović,MF,Serbia,27,Getafe,1995
Nemanja Radonjić,DF,Serbia,26,Torino,1996
Neymar,MF,Brazil,30,Paris S-G,1992
Niclas Füllkrug,FW,Germany,29,Werder Bremen,1993
Nico Elvedi,DF,Switzerland,26,M'Gladbach,1996
Nico Schlotterbeck,DF,Germany,23,Dortmund,1999
Nico Williams,FW,Spain,20,Athletic Club,2002
Nicola Zalewski,MF,Poland,20,Roma,2002
Nicolas Jackson,FW,Senegal,21,Villarreal,2001
Nicolas Nkoulou,DF,Cameroon,32,Aris,1990
Nicolás De La Cruz,MF,Uruguay,25,River Plate,1997
Nicolás Otamendi,DF,Argentina,34,Benfica,1988
Nicolás Tagliafico,DF,Argentina,30,Lyon,1992
Niklas Süle,DF,Germany,27,Dortmund,1995
Nikola Milenković,DF,Serbia,25,Fiorentina,1997
Nikola Vlašić,FW,Croatia,25,Torino,1997
Noa Lang,MF,Netherlands,23,Club Brugge,1999
Noah Okafor,FW,Switzerland,22,RB Salzburg,2000
Nouhou Tolo,DF,Cameroon,25,Seattle,1997
Noussair Mazraoui,DF,Morocco,25,Bayern Munich,1997
Nuno Mendes,DF,Portugal,20,Paris S-G,2002
Néstor Araujo,DF,Mexico,31,AmÃ©rica,1991
Olivier Giroud,FW,France,36,Milan,1986
Olivier Ntcham,MF,Cameroon,26,Swansea City,1996
Orbelín Pineda,MF,Mexico,26,AEK Athens,1996
Osman Bukari,MF,Ghana,24,Red Star,1998
Otávio,MF,Portugal,27,Porto,1995
Ousmane Dembélé,FW,France,25,Barcelona,1997
Pablo Sarabia,FW,Spain,30,Paris S-G,1992
Paik Seung-ho,MF,Korea Republic,25,Jeonbuk,1997
Pape Abou Cissé,DF,Senegal,27,Olympiacos,1995
Pape Gueye,MF,Senegal,23,Marseille,1999
Pape Matar Sarr,MF,Senegal,20,Tottenham,2002
Papu Gómez,MF,Argentina,34,Sevilla,1988
Pathé Ciss,MF,Senegal,28,Rayo Vallecano,1994
Pau Torres,DF,Spain,25,Villarreal,1997
Paulo Dybala,FW,Argentina,29,Roma,1993
Pedri,MF,Spain,20,Barcelona,2002
Pedro,FW,Brazil,25,Flamengo,1997
Pepe,DF,Portugal,39,Porto,1983
Pervis Estupiñán,DF,Ecuador,24,Brighton,1998
Phil Foden,FW,England,22,Manchester City,2000
Piero Hincapié,DF,Ecuador,20,Leverkusen,2002
Pierre Højbjerg,MF,Denmark,27,Tottenham,1995
Pierre Kunde,MF,Cameroon,27,Olympiacos,1995
Piotr Zieliński,MF,Poland,28,Napoli,1994
Przemysław Frankowski,MF,Poland,27,Lens,1995
Rafael Leão,FW,Portugal,23,Milan,1999
Raheem Sterling,FW,England,28,Chelsea,1994
Ramin Rezaeian,DF,IR Iran,32,Sepahan,1990
Randal Kolo Muani,FW,France,24,Eint Frankfurt,1998
Raphaël Guerreiro,DF,Portugal,28,Dortmund,1993
Raphaël Varane,DF,France,29,Manchester Utd,1993
Raphinha,FW,Brazil,26,Barcelona,1996
Rasmus Nissen,DF,Denmark,25,Leeds United,1997
Raúl Jiménez,FW,Mexico,31,Wolves,1991
Remo Freuler,MF,Switzerland,30,Nott'ham Forest,1992
Renato Steffen,FW,Switzerland,31,Lugano,1991
Ricardo Horta,FW,Portugal,28,Braga,1994
Ricardo Rodríguez,DF,Switzerland,30,Torino,1992
Richarlison,FW,Brazil,25,Tottenham,1997
Richie Laryea,DF,Canada,27,Toronto FC,1995
Riley McGree,FW,Australia,24,Middlesbrough,1998
Ritsu Doan,FW,Japan,24,Freiburg,1998
Riyadh Sharahili,MF,Saudi Arabia,29,Abha,1993
Roan Wilson,MF,Costa Rica,20,Municipal Grecia,2002
Robert Lewandowski,FW,Poland,34,Barcelona,1988
Robert Skov,DF,Denmark,26,Hoffenheim,1996
Roberto Alvarado,FW,Mexico,24,Guadalajara,1998
Rodri,DF,Spain,26,Manchester City,1996
Rodrigo Bentancur,MF,Uruguay,25,Tottenham,1997
Rodrigo De Paul,MF,Argentina,28,AtlÃ©tico Madrid,1994
Rodrygo,MF,Brazil,21,Real Madrid,2001
Rogelio Funes Mori,FW,Mexico,31,Monterrey,1991
Romain Saïss,DF,Morocco,32,BeÅŸiktaÅŸ,1990
Romario Ibarra,MF,Ecuador,28,Pachuca,1994
Romelu Lukaku,FW,Belgium,29,Inter,1993
Roozbeh Cheshmi,DF,IR Iran,29,Esteghlal,1993
Ruben Vargas,FW,Switzerland,24,Augsburg,1998
Rubin Colwill,MF,Wales,20,Cardiff City,2002
Ró-Ró,DF,Qatar,32,Al Sadd SC,1990
Rónald Matarrita,DF,Costa Rica,28,FC Cincinnati,1994
Rúben Dias,DF,Portugal,25,Manchester City,1997
Rúben Neves,MF,Portugal,25,Wolves,1997
Saad Al Sheeb,GK,Qatar,32,Al Sadd SC,1990
Sadegh Moharrami,DF,IR Iran,26,Dinamo Zagreb,1996
Saeid Ezatolahi,MF,IR Iran,26,Vejle BK,1996
Saleh Al-Shehri,FW,Saudi Arabia,29,Al-Hilal,1993
Salem Al-Dawsari,MF,Saudi Arabia,31,Al-Hilal,1991
Salis Abdul Samed,MF,Ghana,22,Lens,2000
Salman Al-Faraj,MF,Saudi Arabia,33,Al-Hilal,1989
Sam Adekugbe,DF,Canada,27,Hatayspor,1995
Saman Ghoddos,MF,IR Iran,29,Brentford,1993
Sami Al-Najei,MF,Saudi Arabia,25,Al-Nassr,1997
Samuel Oum Gouet,MF,Cameroon,25,Mechelen,1997
Sardar Azmoun,FW,IR Iran,27,Leverkusen,1995
Saud Abdulhamid,DF,Saudi Arabia,23,Al-Hilal,1999
Saša Lukić,MF,Serbia,26,Torino,1996
Sebastian Szymański,MF,Poland,23,Feyenoord,1999
Sebastián Coates,DF,Uruguay,32,Sporting CP,1990
Selim Amallah,MF,Morocco,26,Standard LiÃ¨ge,1996
Serge Gnabry,FW,Germany,27,Bayern Munich,1995
Sergej Milinković-Savić,MF,Serbia,27,Lazio,1995
Sergio Busquets,MF,Spain,34,Barcelona,1988
Sergio Rochet,GK,Uruguay,29,Nacional,1993
Sergiño Dest,DF,United States,22,Milan,2000
Shaquell Moore,DF,United States,26,Nashville,1996
Shogo Taniguchi,DF,Japan,31,Kawa Frontale,1991
Shūichi Gonda,GK,Japan,33,S-Pulse,1989
Silvan Widmer,DF,Switzerland,29,Mainz 05,1993
Simon Kjær,DF,Denmark,33,Milan,1989
Sofiane Boufal,FW,Morocco,29,Angers,1993
Sofyan Amrabat,MF,Morocco,26,Fiorentina,1996
Son Heung-min,FW,Korea Republic,30,Tottenham,1992
Son Jun-ho,MF,Korea Republic,30,Shandong Lunen,1992
Sorba Thomas,MF,Wales,23,Huddersfield,1999
Srđan Babić,DF,Serbia,26,AlmerÃ­a,1996
Stefan Mitrović,DF,Serbia,32,Getafe,1990
Stephen Eustáquio,MF,Canada,25,Porto,1996
Steve Mandanda,GK,France,37,Rennes,1985
Steven Berghuis,MF,Netherlands,30,Ajax,1991
Steven Bergwijn,FW,Netherlands,25,Ajax,1997
Steven Vitória,DF,Canada,35,Chaves,1987
Strahinja Pavlović,DF,Serbia,21,RB Salzburg,2001
Sultan Al-Ghanam,DF,Saudi Arabia,28,Al-Nassr,1994
Taha Yassine Khenissi,FW,Tunisia,30,Kuwait SC,1992
Tajon Buchanan,MF,Canada,23,Club Brugge,1999
Takefusa Kubo,FW,Japan,21,Real Sociedad,2001
Takehiro Tomiyasu,DF,Japan,24,Arsenal,1998
Takuma Asano,FW,Japan,28,Bochum,1994
Takumi Minamino,FW,Japan,27,Monaco,1995
Tarek Salman,DF,Qatar,25,Al Sadd SC,1997
Tariq Lamptey,DF,Ghana,22,Brighton,2000
Teun Koopmeiners,MF,Netherlands,24,Atalanta,1998
Theo Hernández,DF,France,25,Milan,1997
Thiago Almada,MF,Argentina,21,Atlanta Utd,2001
Thiago Silva,DF,Brazil,38,Chelsea,1984
Thibaut Courtois,GK,Belgium,30,Real Madrid,1992
Thilo Kehrer,DF,Germany,26,West Ham,1996
Thomas Delaney,MF,Denmark,31,Sevilla,1991
Thomas Meunier,DF,Belgium,31,Dortmund,1991
Thomas Müller,FW,Germany,33,Bayern Munich,1989
Thomas Partey,MF,Ghana,29,Arsenal,1993
Thorgan Hazard,FW,Belgium,29,Dortmund,1993
Tim Ream,DF,United States,35,Fulham,1987
Timothy Castagne,DF,Belgium,27,Leicester City,1995
Timothy Weah,FW,United States,22,Lille,2000
Toby Alderweireld,DF,Belgium,33,Antwerp,1989
Trent Alexander-Arnold,DF,England,24,Liverpool,1998
Tyler Adams,MF,United States,23,Leeds United,1999
Unai Simón,GK,Spain,25,Athletic Club,1997
Uriel Antuna,FW,Mexico,25,Cruz Azul,1997
Vanja Milinković-Savić,GK,Serbia,25,Torino,1997
Victor Nelsson,DF,Denmark,24,Galatasaray,1998
Vincent Aboubakar,FW,Cameroon,30,Al-Nassr,1992
Vincent Janssen,FW,Netherlands,28,Antwerp,1994
Vinicius Júnior,FW,Brazil,22,Real Madrid,2000
Virgil van Dijk,DF,Netherlands,31,Liverpool,1991
Vitinha,MF,Portugal,22,Paris S-G,2000
Wahbi Khazri,FW,Tunisia,31,Montpellier,1991
Wajdi Kechrida,DF,Tunisia,27,Atromitos,1995
Walid Cheddira,FW,Morocco,24,Bari,1998
Walker Zimmerman,DF,United States,29,Nashville,1993
Wataru Endo,MF,Japan,29,Stuttgart,1993
Wayne Hennessey,GK,Wales,35,Nott'ham Forest,1987
Weston McKennie,MF,United States,24,Juventus,1998
William Carvalho,MF,Portugal,30,Betis,1992
William Saliba,DF,France,21,Arsenal,2001
Wojciech Szczęsny,GK,Poland,32,Juventus,1990
Wout Weghorst,FW,Netherlands,30,BeÅŸiktaÅŸ,1992
Wéverton,GK,Brazil,35,Palmeiras,1987
Xavi Simons,FW,Netherlands,19,PSV Eindhoven,2003
Xherdan Shaqiri,FW,Switzerland,31,Chicago Fire,1991
Yahya Attiat Allah,DF,Morocco,27,Wydad Casablanca,1995
Yahya Jabrane,MF,Morocco,31,Wydad Casablanca,1991
Yann Sommer,GK,Switzerland,34,M'Gladbach,1988
Yannick Carrasco,FW,Belgium,29,AtlÃ©tico Madrid,1993
Yasser Al-Shahrani,DF,Saudi Arabia,30,Al-Hilal,1992
Yassine Bounou,GK,Morocco,31,Sevilla,1991
Yassine Meriah,DF,Tunisia,29,EspÃ©rance de Tunis,1993
Yeltsin Tejeda,MF,Costa Rica,30,Club Sport Herediano,1992
Youri Tielemans,MF,Belgium,25,Leicester City,1997
Youssef En-Nesyri,FW,Morocco,25,Sevilla,1997
Youssef Msakni,MF,Tunisia,32,Al-Arabi SC,1990
Youssouf Fofana,MF,France,23,Monaco,1999
Youssouf Sabaly,DF,Senegal,29,Betis,1993
Youssoufa Moukoko,FW,Germany,18,Dortmund,2004
Youstin Salas,DF,Costa Rica,26,Deportivo Saprissa,1996
Yuki Soma,FW,Japan,25,Grampus,1997
Yunus Musah,MF,United States,20,Valencia,2002
Yuto Nagatomo,MF,Japan,36,FC Tokyo,1986
Zakaria Aboukhlal,FW,Morocco,22,Toulouse,2000
Álvaro Morata,FW,Spain,30,AtlÃ©tico Madrid,1992
Álvaro Zamora,MF,Costa Rica,20,Deportivo Saprissa,2002
Ángel Correa,MF,Argentina,27,AtlÃ©tico Madrid,1995
Ángel Di María,MF,Argentina,34,Juventus,1988
Ángelo Preciado,DF,Ecuador,24,Genk,1998
Éder Militão,DF,Brazil,24,Real Madrid,1998
Óscar Duarte,DF,Costa Rica,33,Al-Wehda,1989
İlkay Gündoğan,MF,Germany,32,Manchester City,1990
