player,position,team,age,club,birth_year
Bruno Petković,FW,Croatia,28,Dinamo Zagreb,1994
Bryan Mbeumo,FW,Cameroon,23,Brentford,1999
Bryan Oviedo,DF,Costa Rica,32,Real Salt Lake,1990
Bryan Ruiz,MF,Costa Rica,37,Liga Deportiva Alajuelense,1985
Bukayo Saka,FW,England,21,Arsenal,2001
Callum Wilson,FW,England,30,Newcastle Utd,1992
Cameron Carter-Vickers,DF,United States,24,Celtic,1997
Carlos Gruezo,MF,Ecuador,27,Augsburg,1995
Carlos Martínez,DF,Costa Rica,23,AD San Carlos,1999
Carlos Soler,MF,Spain,25,Paris S-G,1997
Casemiro,MF,Brazil,30,Manchester Utd,1992
Celso Borges,MF,Costa Rica,34,Liga Deportiva Alajuelense,1988
Charles De Ketelaere,FW,Belgium,21,Milan,2001
Charly Rodríguez,MF,Mexico,25,Cruz Azul,1997
Cheikhou Kouyaté,MF,Senegal,32,Nott'ham Forest,1989
Cho Guesung,FW,Korea Republic,24,Jeonbuk,1998
Cho Yumin,FW,Korea Republic,26,Daejeon Citizen FC,1996
Chris Mepham,DF,Wales,25,Bournemouth,1997
Christian Bassogog,MF,Cameroon,27,Shanghai Shen,1995
Christian Eriksen,MF,Denmark,30,Manchester Utd,1992
Christian Fassnacht,FW,Switzerland,29,Young Boys,1993
Christian Nørgaard,MF,Denmark,28,Brentford,1994
Christian Pulisic,FW,United States,24,Chelsea,1998
Christopher Wooh,DF,Cameroon,21,Rennes,2001
Cody Gakpo,FW,Netherlands,23,PSV Eindhoven,1999
Collins Fai,DF,Cameroon,30,Al-Ta'ee,1992
Connor Roberts,DF,Wales,27,Burnley,1995
Craig Goodwin,MF,Australia,31,Adelaide,1991
Cristian Romero,DF,Argentina,24,Tottenham,1998
Cristiano Ronaldo,FW,Portugal,37,Manchester Utd,1985
Cyle Larin,FW,Canada,27,Club Brugge,1995
César Azpilicueta,DF,Spain,33,Chelsea,1989
César Montes,DF,Mexico,25,Monterrey,1997
Daichi Kamada,FW,Japan,26,Eint Frankfurt,1996
Daizen Maeda,FW,Japan,25,Celtic,1997
Daley Blind,DF,Netherlands,32,Ajax,1990
Damian Szymański,MF,Poland,27,AEK Athens,1995
Dani Alves,DF,Brazil,39,UNAM,1983
Dani Carvajal,DF,Spain,30,Real Madrid,1992
Dani Olmo,FW,Spain,24,RB Leipzig,1998
Daniel Amartey,DF,Ghana,27,Leicester City,1994
Daniel Chacón,MF,Costa Rica,21,CS CartaginÃ©s,2001
Daniel James,FW,Wales,25,Fulham,1997
Daniel Kyereh,MF,Ghana,26,Freiburg,1996
Danilo,DF,Brazil,31,Juventus,1991
Danilo Pereira,DF,Portugal,31,Paris S-G,1991
Danny Ward,GK,Wales,29,Leicester City,1993
Darko Lazović,DF,Serbia,32,Hellas Verona,1990
Darwin Núñez,FW,Uruguay,23,Liverpool,1999
David Raum,DF,Germany,24,RB Leipzig,1998
David Wotherspoon,MF,Canada,32,St Johnstone,1990
Davy Klaassen,MF,Netherlands,29,Ajax,1993
Dayot Upamecano,DF,France,24,Bayern Munich,1998
DeAndre Yedlin,DF,United States,29,Inter Miami,1993
Declan Rice,MF,England,23,West Ham,1999
Dejan Lovren,DF,Croatia,33,Zenit,1989
Denis Odoi,DF,Ghana,34,Club Brugge,1988
Denis Zakaria,MF,Switzerland,26,Chelsea,1996
Denzel Dumfries,DF,Netherlands,26,Inter,1996
Devis Epassy,GK,Cameroon,29,Abha,1993
Diego Godín,DF,Uruguay,36,VÃ©lez Sarsf,1986
Diogo Costa,GK,Portugal,23,Porto,1999
Diogo Dalot,DF,Portugal,23,Manchester Utd,1999
Djibril Sow,MF,Switzerland,25,Eint Frankfurt,1997
Djorkaeff Reasco,FW,Ecuador,23,Newell's OB,1999
Dominik Livaković,GK,Croatia,27,Dinamo Zagreb,1995
Dries Mertens,MF,Belgium,35,Galatasaray,1987
Dušan Tadić,MF,Serbia,34,Ajax,1988
Dušan Vlahović,FW,Serbia,22,Juventus,2000
Dylan Bronn,DF,Tunisia,27,Salernitana,1995
Eden Hazard,MF,Belgium,31,Real Madrid,1991
Ederson,GK,Brazil,29,Manchester City,1993
Edimilson Fernandes,FW,Switzerland,26,Mainz 05,1996
Edinson Cavani,FW,Uruguay,35,Valencia,1987
Edouard Mendy,GK,Senegal,30,Chelsea,1992
Edson Álvarez,MF,Mexico,25,Ajax,1997
Eduardo Camavinga,DF,France,20,Real Madrid,2002
Ehsan Hajsafi,MF,IR Iran,32,AEK Athens,1990
Ellyes Skhiri,MF,Tunisia,27,KÃ¶ln,1995
Emiliano Martínez,GK,Argentina,30,Aston Villa,1992
Enner Valencia,FW,Ecuador,33,FenerbahÃ§e,1989
Enzo Ebosse,DF,Cameroon,23,Udinese,1999
Enzo Fernández,MF,Argentina,21,Benfica,2001
Eray Cömert,DF,Switzerland,24,Valencia,1998
Eric Dier,DF,England,28,Tottenham,1994
Eric Maxim Choupo-Moting,FW,Cameroon,33,Bayern Munich,1989
Erick Gutiérrez,MF,Mexico,27,PSV Eindhoven,1995
Ethan Ampadu,MF,Wales,22,Spezia,2000
Everton Ribeiro,MF,Brazil,33,Flamengo,1989
Exequiel Palacios,MF,Argentina,24,Leverkusen,1998
Fabian Frei,MF,Switzerland,33,Basel,1989
Fabian Rieder,FW,Switzerland,20,Young Boys,2002
Fabian Schär,DF,Switzerland,30,Newcastle Utd,1991
Fabinho,MF,Brazil,29,Liverpool,1993
Facundo Pellistri,MF,Uruguay,20,Manchester Utd,2001
Famara Diedhiou,FW,Senegal,30,Alanyaspor,1992
Federico Valverde,MF,Uruguay,24,Real Madrid,1998
Ferjani Sassi,MF,Tunisia,30,Al Duhail SC,1992
Ferrán Torres,FW,Spain,22,Barcelona,2000
Filip Kostić,DF,Serbia,30,Juventus,1992
Filip Mladenović,DF,Serbia,31,Legia Warsaw,1991
Filip Đuričić,MF,Serbia,30,Sampdoria,1992
Firas Al-Buraikan,MF,Saudi Arabia,22,Al-Fateh,2000
Fodé Ballo-Touré,DF,Senegal,25,Milan,1997
Fran Karačić,DF,Australia,26,Brescia,1996
Francisco Calvo,DF,Costa Rica,30,Konyaspor,1992
Fred,MF,Brazil,29,Manchester Utd,1993
Frenkie de Jong,MF,Netherlands,25,Barcelona,1997
Félix Torres Caicedo,DF,Ecuador,25,Santos,1997
Gabriel Jesus,FW,Brazil,25,Arsenal,1997
Garang Kuol,FW,Australia,18,Central Coast,2004
Gareth Bale,FW,Wales,33,Los Angeles FC,1989
Gavi,MF,Spain,18,Barcelona,2004
Gaël Ondoua,MF,Cameroon,27,Hannover 96,1995
Georges-Kévin N'Koudou,FW,Cameroon,27,BeÅŸiktaÅŸ,1995
Germán Pezzella,DF,Argentina,31,Betis,1991
Gerson Torres,MF,Costa Rica,25,Club Sport Herediano,1997
Ghaylène Chaalali,MF,Tunisia,28,EspÃ©rance de Tunis,1994
Gideon Mensah,DF,Ghana,24,Auxerre,1998
Gio Reyna,FW,United States,20,Dortmund,2002
Giorgian De Arrascaeta,MF,Uruguay,28,Flamengo,1994
Gleison Bremer,DF,Brazil,25,Juventus,1997
Gonzalo Montiel,DF,Argentina,25,Sevilla,1997
Gonzalo Plata,MF,Ecuador,22,Valladolid,2000
Gonçalo Ramos,FW,Portugal,21,Benfica,2001
Granit Xhaka,MF,Switzerland,30,Arsenal,1992
Gregor Kobel,GK,Switzerland,25,Dortmund,1997
Grzegorz Krychowiak,MF,Poland,32,Al-Shabab,1990
Guido Rodríguez,MF,Argentina,28,Betis,1994
Guillermo Ochoa,GK,Mexico,37,AmÃ©rica,1985
Guillermo Varela,DF,Uruguay,29,Flamengo,1993
Haji Wright,FW,United States,24,Antalyaspor,1998
Hakim Ziyech,FW,Morocco,29,Chelsea,1993
Hannibal Mejbri,MF,Tunisia,19,Birmingham City,2003
Haris Seferović,FW,Switzerland,30,Galatasaray,1992
Harry Kane,FW,England,29,Tottenham,1993
Harry Maguire,DF,England,29,Manchester Utd,1993
Harry Souttar,DF,Australia,24,Stoke City,1998
