player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Yahya Attiat Allah,DF,Morocco,27,1995,3.5,0,2,0,0.0,0.57,0.0,0.0,13.0,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,
Yahya Jabrane,MF,Morocco,31,1991,0.2,0,0,0,,0.0,0.0,,,,0,0,,,,,,
Yann Sommer,GK,Switzerland,34,1988,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Yannick Carrasco,FW,Belgium,29,1993,1.3,0,4,0,0.0,3.1,0.0,0.0,13.9,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,
Yasser Al-Shahrani,DF,Saudi Arabia,30,1992,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Yassine Bounou,GK,Morocco,31,1991,6.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Yassine Meriah,DF,Tunisia,29,1993,3.0,0,1,0,0.0,0.33,0.0,0.0,9.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Yeltsin Tejeda,MF,Costa Rica,30,1992,3.0,1,2,2,100.0,0.67,0.67,0.5,15.1,0.0,0,0,0.4,0.4,0.21,0.6,0.6,0.5
Youri Tielemans,MF,Belgium,25,1997,1.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Youssef En-Nesyri,FW,Morocco,25,1997,6.0,2,9,3,33.3,1.49,0.5,0.22,9.1,0.0,0,0,1.2,1.2,0.14,0.8,0.8,0.67
Youssef Msakni,MF,Tunisia,32,1990,1.9,0,9,2,22.2,4.79,1.07,0.0,16.0,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,0.0
Youssouf Fofana,MF,France,23,1999,2.5,0,4,0,0.0,1.59,0.0,0.0,21.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,
Youssouf Sabaly,DF,Senegal,29,1993,4.0,0,2,1,50.0,0.5,0.25,0.0,30.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,0.0
Youssoufa Moukoko,FW,Germany,18,2004,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Youstin Salas,DF,Costa Rica,26,1996,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Yuki Soma,FW,Japan,25,1997,0.9,0,3,0,0.0,3.33,0.0,0.0,22.7,1.0,0,0,0.2,0.2,0.06,-0.2,-0.2,
Yunus Musah,MF,United States,20,2002,3.8,0,4,1,25.0,1.05,0.26,0.0,22.9,1.0,0,0,0.3,0.3,0.08,-0.3,-0.3,0.0
Yuto Nagatomo,MF,Japan,36,1986,2.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Zakaria Aboukhlal,FW,Morocco,22,2000,0.9,1,3,2,66.7,3.42,2.28,0.33,14.9,0.0,0,0,1.0,1.0,0.33,0.0,0.0,0.5
Álvaro Morata,FW,Spain,30,1992,2.1,3,8,5,62.5,3.89,2.43,0.38,10.3,0.0,0,0,1.4,1.4,0.17,1.6,1.6,0.6
Álvaro Zamora,MF,Costa Rica,20,2002,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ángel Correa,MF,Argentina,27,1995,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ángel Di María,MF,Argentina,34,1988,3.2,1,6,3,50.0,1.87,0.94,0.17,20.7,0.0,0,0,0.8,0.8,0.14,0.2,0.2,0.33
Ángelo Preciado,DF,Ecuador,24,1998,2.9,0,4,0,0.0,1.36,0.0,0.0,26.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,
Éder Militão,DF,Brazil,24,1998,3.9,0,5,1,20.0,1.3,0.26,0.0,20.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,0.0
Óscar Duarte,DF,Costa Rica,33,1989,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
İlkay GündoÄğan,MF,Germany,32,1990,2.1,1,5,2,40.0,2.38,0.95,0.0,25.9,0.0,1,1,1.1,0.4,0.07,-0.1,-0.4,0.0
